like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
0.2260705,0.81434935,4.9023147,0.8454637,0.57697105,1.293888,5.0
0.6165125,0.506551,2.1504545,1.0401158,0.37113827,0.6149879,6.0
0.42705497,0.5392088,1.8822733,1.6152674,0.48436388,0.86541957,7.0
0.46363625,0.21672355,2.566436,1.8683195,0.86400396,1.0264891,8.0
0.23436202,0.36432195,2.348883,1.8590935,0.7719454,0.8457665,9.0
0.36020315,0.07167097,4.390149,2.0875561,0.67419595,1.0213634,10.0
0.547021,0.46426904,2.7451074,1.3788614,0.7362016,2.4789913,11.0
0.560106,0.39533722,4.543953,1.2679557,0.5496259,2.6432493,1.0
0.26362535,0.9968943,3.167675,2.0509403,0.9074149,0.3074899,2.0
0.6174058,0.42957428,3.2223878,1.5653095,0.7867985,2.5245476,3.0
0.3213759,0.95535636,2.0936499,0.7237229,0.58502847,0.63189894,4.0
0.49369758,0.10789401,0.3218915,0.9144443,0.4578392,2.007683,5.0
0.5432341,0.50845915,0.44387376,2.4251657,0.822828,1.7393752,6.0
0.38062996,0.4560166,3.103554,1.3557284,0.6100515,1.8798106,7.0
0.6361043,0.120010145,2.403967,2.1278524,0.46870056,2.9388683,8.0
1.2445484,0.8370877,0.12279762,0.6564777,0.0999338,1.038462,9.0
0.6138819,0.5827476,0.8743659,0.82939607,0.31897023,1.2614799,10.0
0.32488608,0.47252104,1.0413162,1.7832613,0.7101537,1.4547043,11.0
0.5079476,0.5368452,2.9923465,1.2054881,0.90877604,0.85266364,1.0
0.69328773,0.37058553,0.022941235,1.7758143,0.8737161,2.2524734,2.0
0.46197715,0.6372833,0.9787797,1.5438583,0.44018093,1.7279329,3.0
1.3711984,0.0069091744,1.0954137,1.8014934,0.1685807,2.2089994,4.0
0.38252032,0.51134884,1.004264,1.907092,0.6790887,1.8394928,5.0
0.6513427,0.69556797,1.8715079,2.463293,0.9241668,1.4359902,6.0
0.6314918,0.81609803,3.8646574,0.57056206,0.39862055,0.51695395,7.0
0.4687172,0.19911556,0.5666099,2.6438465,0.44301167,0.883218,8.0
0.5064322,0.4693238,4.487205,2.0032985,0.74706393,1.1311219,9.0
0.47436625,0.4860434,1.2743266,1.4263579,0.82892716,1.3316247,10.0
0.21886452,0.0014309741,2.178365,1.1070503,0.6369761,0.67498255,11.0
0.6449377,0.40834025,2.9221258,1.3831563,0.29741058,0.5178148,1.0
0.22519389,0.51396847,2.175715,1.93408,0.66422397,1.253079,2.0
0.52926517,0.6742341,4.6754737,0.823057,0.8730191,0.9000259,3.0
0.54728335,0.5445354,1.9629608,2.9365807,0.81140894,1.8732132,4.0
0.39833108,0.40150043,0.8408377,1.3214586,0.53697073,1.8822287,5.0
0.24852131,0.3968592,1.8161794,1.5918962,0.58384037,1.3628759,6.0
0.23581721,0.48892716,2.774171,1.5738764,0.59744644,1.385957,7.0
