like1,paralpha,parbeta,pargamma,pardelta,parepsilon,chain
0.62040025,0.9344085,0.33314058,0.435814,1.8164684,0.1845295,8.0
0.6721577,0.8318802,0.28103334,0.46289912,1.0889964,0.26705045,9.0
0.634603,0.8279889,0.6758147,0.33558968,1.0244914,0.15050307,10.0
0.6460096,0.7635366,0.7043055,0.91438,1.7833114,0.20817038,11.0
0.71047825,0.80458194,0.7305363,0.667341,1.2625139,0.30560526,1.0
0.75110996,0.62822104,0.61812896,0.83134085,0.5268913,0.31850725,2.0
0.7425297,0.60822237,0.708457,0.96557343,1.8042322,0.2949935,3.0
0.68228984,0.6852547,0.5354233,0.79290956,1.0928807,0.2450659,4.0
0.6599501,0.593109,0.63187927,0.31783152,1.3604665,0.18272382,5.0
0.66129494,0.8258313,0.2998838,0.68840957,1.7160497,0.12858263,6.0
0.6598058,0.6414159,0.22557501,0.69526994,1.914786,0.22874945,7.0
0.6754183,0.51740134,0.38233843,0.6495939,1.6385119,0.21560508,8.0
0.6803836,0.64545876,0.5659498,0.77255493,1.6527804,0.23534305,9.0
0.6383165,0.69004726,0.4290954,0.57014513,1.7042661,0.15075392,10.0
0.6695357,0.7269629,0.5494839,0.58597374,1.3787215,0.23832773,11.0
0.8235937,0.5319726,0.34886524,0.8632505,1.7920394,0.46065235,1.0
0.7435026,0.7138062,0.42842215,0.5241111,0.76655436,0.3464993,2.0
0.73340183,0.78781736,0.1421887,0.0622073,1.6393857,0.36185437,3.0
0.802034,0.7751607,0.40963456,0.6776636,1.134396,0.46454537,4.0
0.67413783,0.5751384,0.31409535,0.77477014,1.3536819,0.12203914,5.0
0.7297693,0.90197504,0.050153743,0.058007844,1.0401219,0.35954902,6.0
0.68589956,0.7686717,0.35388684,0.30137095,1.2929736,0.27820492,7.0
0.77227,0.78373283,0.47846764,0.37998426,0.70950097,0.4069448,8.0
0.69374675,0.81759465,0.42217848,0.89246446,1.4592304,0.29383412,9.0
0.7189765,0.7996408,0.32519355,0.69561297,1.3846313,0.10825537,10.0
0.63080716,0.8874415,0.5035243,0.7849235,1.039934,0.15255587,11.0
0.6606692,0.64561576,0.46666417,0.46376422,1.5340668,0.21190886,1.0
0.6392505,0.6611911,0.32274985,0.33282292,1.4416455,0.15115437,2.0
0.64080805,0.7076771,0.30200747,0.6187418,1.7204188,0.19608606,3.0
0.6384542,0.722225,0.4400439,0.48784566,1.5073897,0.1886055,4.0
0.6349441,0.9046027,0.65737134,0.38440925,1.0354737,0.14701243,5.0
0.65395343,0.6492777,0.6871037,0.7011282,1.4976163,0.18413597,6.0
0.65294015,0.65299195,0.7032181,0.7060242,1.9498914,0.13961668,7.0
0.62835324,0.77294827,0.39325193,0.54190123,1.5320711,0.17578673,8.0
0.63602865,0.7567814,0.60090744,0.6064502,1.65585,0.15001528,9.0
0.6221275,0.98650223,0.6876014,0.3293549,0.9400401,0.1766419,10.0
0.62190473,0.9891683,0.72738177,0.76736724,1.2284684,0.18628775,11.0
0.6491519,0.7022682,0.476343,0.6235455,1.5211537,0.20365132,1.0
0.6465177,0.9114402,0.65125734,0.5996735,1.6353,0.13669854,2.0
0.64144385,0.8669215,0.5876887,0.41285506,1.1028681,0.21944506,3.0
0.6392267,0.7128755,0.5600467,0.41610637,1.4049996,0.178457,4.0
0.62793183,0.84069455,0.5947678,0.57314485,1.5183692,0.1563879,5.0
0.6280082,0.8233462,0.013555478,0.26185495,1.8804501,0.15273905,6.0
