like1,paralpha,parbeta,pargamma,pardelta,parepsilon,chain
0.8958726,0.77230537,0.9933129,0.78294677,0.88633955,0.4230513,1.0
0.89536554,0.73119324,0.17770466,0.22965327,0.6293652,0.48328152,2.0
0.9039251,0.78781736,0.1421887,0.0622073,1.6393857,0.36185437,3.0
0.8950457,0.7751607,0.40963456,0.6776636,1.134396,0.46454537,4.0
0.9074183,0.6978772,0.704574,0.632085,1.3807968,0.3429669,5.0
0.9021409,0.90197504,0.050153743,0.058007844,1.0401219,0.35954902,6.0
0.9026629,0.5202617,0.25488424,0.09467791,0.7595257,0.48050907,7.0
0.8955084,0.78373283,0.47846764,0.37998426,0.70950097,0.4069448,8.0
0.91743344,0.81759465,0.42217848,0.89246446,1.4592304,0.29383412,9.0
0.9044574,0.94154906,0.6784378,0.1708298,1.5678532,0.34469494,10.0
0.89496654,0.7880283,0.69346625,0.8965523,1.0065354,0.45347667,11.0
0.89138407,0.91011286,0.7263512,0.7646,1.9320191,0.4937783,1.0
0.89222366,0.97726834,0.65781176,0.7922905,1.6635711,0.48719376,2.0
0.8933539,0.8383741,0.60636735,0.8808743,1.1042937,0.43559068,3.0
0.89463836,0.8434861,0.64551425,0.63770634,1.2781401,0.42602843,4.0
0.89351285,0.977342,0.73039204,0.86982226,0.8443601,0.40339652,5.0
0.8936849,0.91229206,0.5576229,0.568921,1.1083615,0.40702134,6.0
0.8940824,0.8410528,0.5297604,0.7563735,1.315698,0.46381927,7.0
0.8925317,0.90961844,0.6037546,0.7020022,1.3026809,0.43505725,8.0
0.89292276,0.8752155,0.64770025,0.7363949,1.3875701,0.4445608,9.0
0.8924345,0.9319308,0.6818699,0.8391101,1.2250012,0.43736127,10.0
0.89269716,0.969409,0.7671364,0.84371674,1.9438694,0.479541,11.0
0.8973536,0.7587274,0.51765364,0.5493835,0.98117995,0.3966401,1.0
0.8964324,0.74099463,0.66482335,0.65134156,1.0392786,0.41438258,2.0
0.8970302,0.91371137,0.3105354,0.552532,0.5532669,0.3823414,3.0
0.8950439,0.7634639,0.22247785,0.6287193,1.3254553,0.44376427,4.0
0.89824086,0.72511905,0.6245686,0.29412696,0.91968787,0.39689192,5.0
