date,outflow,volume,inflow_efas5,e0_emo1,pr_emo1,ta_emo1
1990-02-18,104.752,14.998,6.71,1.03,0.0,11.28
1990-02-19,77.999,14.998,5.88,1.32,0.3,11.89
1990-02-20,55.745,14.998,5.38,0.98,0.32,11.43
1990-02-21,54.664,14.998,5.15,0.95,0.0,12.42
1990-02-22,72.413,14.998,5.15,1.26,0.0,13.75
1990-02-23,68.078,14.998,5.15,1.78,0.0,12.11
1990-02-24,90.744,14.998,5.15,2.6,0.0,13.59
1990-02-25,87.997,14.998,5.15,1.82,0.0,14.67
1990-02-26,83.581,14.998,5.15,1.22,0.0,9.82
1990-02-27,35.749,14.998,5.15,1.37,0.0,12.05
1990-02-28,44.004,14.998,5.15,2.24,0.0,13.68
1990-03-01,45.587,14.998,5.15,2.32,0.0,12.23
1990-03-02,65.831,14.998,5.15,1.24,0.0,10.08
1990-03-03,94.835,14.998,5.15,1.73,0.0,5.16
1990-03-04,68.662,14.998,5.15,2.52,0.08,6.35
1990-03-05,42.164,14.998,5.15,2.64,0.86,6.69
1990-03-06,32.997,14.998,5.15,1.92,0.08,7.23
1990-03-07,32.997,14.998,5.15,2.44,0.0,10.23
1990-03-08,32.997,14.998,5.15,2.15,1.02,12.18
1990-03-09,32.997,14.998,5.15,1.22,0.06,10.18
1990-03-10,32.997,14.998,5.15,2.39,0.0,12.3
1990-03-11,32.997,14.998,5.15,2.59,0.0,13.85
1990-03-12,31.58,14.998,5.15,2.02,6.42,15.66
1990-03-13,17.996,15.087,5.15,2.21,0.25,14.22
1990-03-14,39.582,16.186,5.15,1.77,0.0,12.12
1990-03-15,34.999,17.488,5.15,1.89,0.0,11.67
1990-03-16,33.999,17.488,5.15,2.6,0.0,13.27
1990-03-17,26.414,17.517,5.14,2.79,0.0,13.69
1990-03-18,64.504,17.452,5.15,3.12,0.0,13.08
1990-03-19,64.166,12.782,5.15,2.71,0.0,12.64
1990-03-20,0.0,8.297,5.15,2.96,0.0,13.84
1990-03-21,0.0,9.861,5.15,3.43,0.0,15.24
1990-03-22,0.0,11.267,5.15,4.08,0.0,16.51
1990-03-23,4.666,12.599,5.15,2.85,0.0,17.41
1990-03-24,51.329,13.498,5.15,2.26,2.59,13.52
1990-03-25,0.0,10.111,5.15,1.87,0.14,11.81
1990-03-26,4.583,11.739,5.14,2.49,0.0,8.74
1990-03-27,50.416,13.805,5.15,2.89,0.0,6.49
1990-03-28,0.0,10.659,5.15,2.87,0.0,6.4
1990-03-29,0.0,11.873,5.14,2.8,0.0,7.1
1990-03-30,0.0,13.035,5.13,3.69,0.0,7.7
1990-03-31,0.0,14.197,5.15,3.9,1.0,9.85
1990-04-01,6.0,15.363,5.17,2.91,4.89,11.14
1990-04-02,75.251,16.069,5.16,1.83,6.82,10.23
1990-04-03,109.661,11.551,5.16,2.41,0.71,10.56
1990-04-04,92.666,15.085,5.16,2.41,0.0,10.74
1990-04-05,67.335,15.942,5.71,1.96,1.25,10.68
1990-04-06,71.162,14.686,103.66,1.79,18.59,10.04
1990-04-07,82.58,12.831,68.79,1.79,3.31,8.04
1990-04-08,184.496,16.604,62.57,3.0,1.71,10.05
1990-04-09,148.578,16.494,50.14,2.0,3.4,8.36
1990-04-10,170.084,15.264,48.1,2.0,3.07,6.4
1990-04-11,93.659,15.035,43.88,2.74,0.21,7.63
1990-04-12,89.166,15.362,40.16,2.94,0.0,10.77
