like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
1.0341185,0.70779634,1.4681982,2.0410306,0.58756787,0.75173753,7.0
0.96983933,0.5065635,2.4817848,1.9846488,0.90377235,1.2264905,8.0
0.87750167,0.15778805,3.1260543,1.5170342,0.8028511,1.5712802,9.0
1.0082498,0.12159272,2.8931968,0.9900667,0.79290843,1.5247799,10.0
1.5162911,0.08127999,3.6328244,2.5392845,0.24877289,1.5077171,11.0
1.0155529,0.27108926,0.5556646,2.3344681,0.70764333,1.1183934,1.0
1.1088476,0.8582005,1.3952901,0.6558476,0.4528271,1.567021,2.0
1.1868061,0.6941303,3.4096808,2.8850198,0.43129846,1.9141372,3.0
1.0366354,0.20681755,3.9571452,1.3938725,0.73815334,2.2878792,4.0
1.3134637,0.66366476,0.22994909,1.9381771,0.8090179,1.8292191,5.0
1.115522,0.6275491,3.117874,2.8442955,0.6187134,1.1070273,6.0
1.1363146,0.82905716,0.7851789,1.9963697,0.7885047,1.3625443,7.0
0.8546155,0.6942683,1.4000216,1.7880316,0.69470775,1.4152228,8.0
1.1221398,0.34796527,4.340504,0.504415,0.3454597,0.9837404,9.0
0.96195704,0.9281832,0.9641839,2.7302685,0.96542704,2.5703173,10.0
1.4199272,0.81051296,4.038463,0.6501874,0.3025079,2.9428787,11.0
0.99322015,0.5061604,2.6002746,1.8859735,0.78771424,1.7972999,1.0
0.7731222,0.24839064,0.19590516,1.6529286,0.5962887,2.224941,2.0
1.1010956,0.71070004,0.6715138,1.8435255,0.47358343,1.4537175,3.0
0.677933,0.3095918,0.9535349,1.0808223,0.62181735,1.5509739,4.0
1.1218878,0.66410035,1.8877443,0.69820565,0.58002514,2.7356265,5.0
0.71739036,0.6425012,2.3522823,0.95148367,0.7534562,2.0895119,6.0
0.77822566,0.50862426,1.6340755,1.4974812,0.75007784,1.7683992,7.0
0.8824818,0.5253485,1.8994747,1.6200368,0.7992617,1.534923,8.0
0.9350894,0.5595291,1.4820428,0.96330494,0.62754613,2.3704627,9.0
0.7763775,0.534741,1.6083196,1.4377308,0.7470063,1.6891392,10.0
0.94569284,0.5849116,0.91494256,1.6674622,0.5777815,1.5917263,11.0
1.3464324,0.46582976,0.080118604,2.7288184,0.21348363,1.2245849,1.0
1.3079458,0.55807453,1.4041574,2.0345836,0.4727844,1.2385792,2.0
1.032832,0.61365205,2.8801641,1.7321218,0.7450467,1.4728603,3.0
0.9988836,0.7323734,3.2485833,1.3343592,0.71038324,2.0559824,4.0
1.1869564,0.59010565,2.345953,1.6025673,0.5858236,1.3662939,5.0
1.0395261,0.596792,4.2769527,1.4165114,0.89425427,0.6822636,6.0
0.8761312,0.6214901,3.3600729,1.3514113,0.7748914,1.0236311,7.0
0.6843884,0.64420193,2.7629716,0.5646532,0.6409396,1.3658944,8.0
0.9650438,0.38397455,3.4613998,0.9010276,0.54986876,0.42370614,9.0
0.86849004,0.7072887,1.9223796,1.6809764,0.7419614,0.8529803,10.0
0.82357556,0.6943971,3.5243714,1.2299536,0.7652491,1.4847745,11.0
1.3193713,0.99379385,4.0051374,2.8847146,0.7916798,1.0264574,1.0
1.1366166,0.83847356,2.7090507,1.198762,0.3428055,0.63365626,2.0
0.9962477,0.23907262,2.6544378,2.0560827,0.94362336,2.0194318,3.0
1.1143883,0.52372307,2.1492395,1.8614657,0.91136634,0.87427723,4.0
0.9787996,0.46611124,2.5126207,1.7429394,0.85093623,1.3074696,5.0
0.9684282,0.8747804,1.5408847,2.2407796,0.84698594,0.45991892,6.0
1.0684456,0.4959922,2.9423852,1.0590411,0.62044245,2.1607103,7.0
0.93917966,0.33036235,3.4023917,1.4778284,0.75506103,1.9430743,8.0
0.9506863,0.4996975,2.9992678,1.3011472,0.69829285,1.749385,9.0
0.7955321,0.74061924,3.0510056,1.001562,0.5972215,0.8267526,10.0
0.9218336,0.6507689,2.2832386,1.8747709,0.7998898,1.0926547,11.0
1.4212236,0.047641523,4.148965,1.0747527,0.11663163,2.219059,1.0
1.0021151,0.44429782,2.3772848,2.1067111,0.80845934,1.7761835,2.0
0.9478263,0.67349046,2.4212592,0.63353443,0.34454522,0.32315102,3.0
1.4071964,0.42311454,0.875749,2.304705,0.43209586,2.0854568,4.0
0.9700646,0.36318576,4.495634,1.0510508,0.6564673,0.44009778,5.0
1.099477,0.93722785,4.800473,2.4792736,0.27481842,0.3474225,6.0
0.84236956,0.7743506,1.0489583,2.017967,0.60746974,0.8512313,7.0
1.4216535,0.75255156,3.004071,1.0087346,0.433077,2.521326,8.0
0.7667257,0.6514726,0.26863384,2.1633942,0.7348802,2.3785195,9.0
1.0679362,0.9291656,3.7361999,1.0431764,0.8826868,2.1941543,10.0
0.98861414,0.8591215,4.1963973,1.449162,0.7273161,0.9515272,11.0
0.8176143,0.2355156,2.1783051,0.69546443,0.6032522,0.878257,1.0
0.87438065,0.4887962,2.7247975,1.185152,0.634046,1.0676297,2.0
0.7459489,0.83332586,3.2145302,0.7515845,0.7528159,1.969689,3.0
1.0932595,0.5380863,2.7759125,0.78117466,0.8116161,1.8018613,4.0
0.6362583,0.72184986,0.858556,1.043372,0.70270014,2.3107255,5.0
0.8202133,0.6428646,2.3351748,1.470542,0.7679339,1.5488302,6.0
0.7910343,0.6332096,2.479666,1.0095739,0.76109475,1.7979767,7.0
0.7839354,0.47969705,2.929342,1.1657019,0.7507545,1.843602,8.0
0.63463813,0.627293,0.06375317,0.96378845,0.6278093,2.0660071,9.0
0.6948655,0.42235723,1.525772,0.97728837,0.64861006,1.5382808,10.0
0.7357429,0.629619,1.9205505,1.201425,0.72836953,1.7508774,11.0
0.8886022,0.5751267,0.8479637,1.7940748,0.6769848,0.92551136,1.0
0.84503216,0.42451015,2.8205466,1.2822216,0.69440645,1.149416,2.0
0.75520605,0.5343779,1.1274743,1.6567974,0.6690159,1.2191856,3.0
0.86014706,0.3239165,0.2143615,1.5078943,0.56997633,2.200647,4.0
0.8205432,0.39108035,0.7218227,1.5230209,0.603888,1.7998983,5.0
0.83262634,0.5014404,1.9763948,1.6158009,0.7457007,1.3927542,6.0
0.9102021,0.4329598,2.0755293,1.9164165,0.77893114,0.4695637,7.0
0.8510083,0.49346605,1.6742359,1.8089238,0.7298384,0.9823667,8.0
0.79228723,0.47251216,1.2418876,1.6976155,0.67476714,1.2558063,9.0
0.7984712,0.51938945,1.4920901,1.5377094,0.7349688,1.415559,10.0
1.2907697,0.5828456,1.8473887,0.90605414,0.9803949,1.1306137,11.0
0.8561209,0.62327117,1.909397,1.8575447,0.7857589,1.4541152,1.0
0.85203516,0.5715883,1.2052776,1.2707202,0.6213951,1.7911837,2.0
0.9865416,0.22475047,2.3494456,1.9308764,0.9193751,1.88485,3.0
0.88547295,0.11710426,0.1256451,1.5125344,0.75101954,2.2212543,4.0
0.8601923,0.3768488,2.0702293,1.4531581,0.723308,1.9733584,5.0
1.3348196,0.32911435,1.3512721,1.6346563,0.9869874,0.7760368,6.0
0.853648,0.39837682,2.2965858,1.56924,0.8014279,1.6837249,7.0
0.82036877,0.66882753,2.230669,1.3638837,0.7078487,1.1189729,8.0
1.240333,0.37581947,1.8388355,1.4073397,0.8451267,1.2212212,9.0
0.8345347,0.6021928,2.1086888,1.483208,0.7268288,1.4348432,10.0
0.7044077,0.7760939,2.68074,0.73349786,0.57654285,1.0048813,11.0
0.9263849,0.65375745,1.7198489,2.0422113,0.8469378,2.1603067,1.0
0.9171301,0.05533528,1.604981,1.857684,0.6636068,0.9394607,2.0
0.8871681,0.24221644,2.053588,1.5061712,0.6869712,1.3116243,3.0
1.4233048,0.45596975,1.2046199,1.434729,0.37794915,2.4285755,4.0
1.3703382,0.857987,2.018689,1.3441644,0.8679394,0.5856091,5.0
1.4492463,0.53708833,3.8849049,1.6070324,0.36698106,1.6463912,6.0
1.3922155,0.21880117,1.1069083,1.7656578,0.48406,2.5278742,7.0
0.6870955,0.6159788,2.9508018,0.8031454,0.7336999,2.0559516,8.0
0.8580622,0.8836834,1.8082342,0.506727,0.59015954,1.990164,9.0
1.3479784,0.589709,1.4101222,2.5357256,0.5726031,1.3252056,10.0
1.1993278,0.61921287,2.6410596,1.3077508,0.98427236,1.5970578,11.0
