like1,parw,paralpha,parbeta,pargamma,parlambda_,chain
0.77301574,0.23144634,4.3370047,0.7775961,0.39686894,2.1915762,2.0
1.1390876,0.2903984,4.27388,2.376193,0.25707078,2.4249537,3.0
1.1224287,0.24943416,3.2955437,1.3892595,0.72062397,0.7781998,4.0
0.9414252,0.5225071,1.4496468,0.70350885,0.14620815,1.590586,5.0
0.8184152,0.7340763,0.98209643,2.0418355,0.63977915,2.746257,6.0
1.2521955,0.34631675,0.43734273,0.8048126,0.10857479,2.2558653,7.0
0.62724394,0.42553908,1.5924224,1.0152628,0.31267336,1.4899887,8.0
0.799499,0.6833189,2.1022563,1.1114832,0.5267945,1.1190364,9.0
0.71262515,0.6108147,1.3101361,1.1686959,0.24730593,1.6454362,10.0
1.029312,0.32508075,2.287828,2.0677514,0.27136955,0.8879532,11.0
1.0776047,0.29030833,2.985015,1.8264467,0.2669443,1.6231896,1.0
0.947297,0.9329503,0.5358648,0.7002184,0.21418571,0.81341344,2.0
0.90970826,0.6451651,2.9297442,1.2280703,0.21844287,0.8631388,3.0
1.0888224,0.7460716,2.3826137,2.2492173,0.2606462,1.2868427,4.0
0.52541226,0.80079275,1.0487839,1.1610291,0.34897193,0.7265297,5.0
1.1289223,0.4872897,2.0248313,2.4221778,0.5211439,1.5595695,6.0
0.97775215,0.4767273,2.230801,1.7344819,0.39241618,1.1760118,7.0
0.79907733,0.5194905,1.4054322,1.9166465,0.31274617,1.5674728,8.0
0.60109293,0.7306209,0.4117048,1.123689,0.35443297,0.57381535,9.0
1.0999504,0.89546347,4.9329476,1.2765352,0.6124073,2.465118,10.0
0.7155904,0.71756166,1.5111399,1.4256414,0.3444827,0.58880615,11.0
1.0821766,0.23308258,1.8314968,2.2567036,0.61376005,0.7100256,1.0
0.6300946,0.3459461,0.3898255,0.83078194,0.7619473,1.0107552,2.0
0.995425,0.3395272,1.530485,1.566841,0.7440178,0.8089493,3.0
0.6917125,0.94453114,0.6719638,1.9671392,0.7404379,0.95521563,4.0
0.82074976,0.50101113,1.6724349,1.5166777,0.5228406,1.8540633,5.0
1.0834929,0.6591246,3.1059463,1.3199481,0.69823873,1.6589054,6.0
0.7586513,0.5196725,0.96057326,1.0919371,0.71451473,1.9145262,7.0
0.65164965,0.6864124,0.46904182,0.8949075,0.83648473,0.5444042,8.0
0.9139177,0.43629387,3.1316533,0.84997433,0.16473389,2.4800377,9.0
0.90739197,0.43007115,1.4019644,1.7115451,0.65890837,0.8176174,10.0
1.2676433,0.08899825,2.0107791,1.7557455,0.9000616,1.3441948,11.0
1.1322358,0.62468874,4.796111,1.5977485,0.19756801,1.7941132,1.0
1.1687914,0.9943015,3.917569,1.1438992,0.8076282,0.30194452,2.0
0.58479416,0.62668955,3.2543461,0.55617225,0.36148283,0.6537343,3.0
1.1275448,0.5676546,3.8232505,1.9390869,0.14147164,0.4186574,4.0
1.1132984,0.98055357,2.751607,1.5236337,0.67801964,1.4130592,5.0
1.0750039,0.15513328,4.4005165,1.9262879,0.26241416,0.51559454,6.0
0.70519,0.80395013,0.24626124,0.6428052,0.36008126,2.0343995,7.0
