SNCZI,ResID,DAM_NAME,YEAR,LON,LAT,LisfloodX,LisfloodY,Vc,Vf,Qmin,Qnd,Vn,Qn,CAP_MCM,CATCH_SKM
2127,33,LA SERENA,0,-5.505988953,38.90246811,-5.45833,38.925,1.0000000000000001e-07,9.7e-07,2.0,75.1,5e-07,4.5,3219.0,7666.86208
2138,3208,SICHAR,1960,-0.232917,40.012083,-0.24167,40.00833,1.0000000000000001e-07,9.7e-07,2.63,23.73,5e-07,5.0,49.3,2506.228992
2140,3253,SIERRA BOYERA,1973,-5.22375,38.262083,-5.225,38.25833,1.0000000000000001e-07,9.7e-07,0.1,2.61,5e-07,0.19,40.9,423.509504
2141,166,SIERRA BRAVA,1996,-5.645417,39.195417,-5.64167,39.19167,1.0000000000000001e-07,9.7e-07,0.06,3.44,5e-07,0.34,233.0,218.178352
2171,3275,SOTIEL,1982,-6.807917,37.71375,-6.80833,37.725,1.0000000000000001e-07,9.7e-07,0.34,21.0,5e-07,1.16,28.5,171.035744
2175,30,LA SOTONERA,1963,-0.671069098,42.10042961,-0.675,42.10833,1.0000000000000001e-07,9.7e-07,0.3,4.0,5e-07,0.5,189.0,315.872992
2180,3755,SUSQUEDA,1968,2.525417,41.979583,2.525,41.975,1.0000000000000001e-07,9.7e-07,4.32,38.25,5e-07,6.92,233.0,1793.532288
2188,3256,TAIBILLA,1973,-2.262083,38.19125,-2.25833,38.19167,1.0000000000000001e-07,9.7e-07,0.17,4.27,5e-07,0.56,10.0,302.777152
2190,3182,LA TAJERA,1993,-2.620417,40.84125,-2.625,40.84167,1.0000000000000001e-07,9.7e-07,0.74,4.71,5e-07,1.2,68.0,571.503296
2193,152,TALARN,0,0.91625,42.182917,0.925,42.19167,1.0000000000000001e-07,9.7e-07,6.22,62.88,5e-07,11.33,205.0,2057.390208
2197,3249,EL TALAVE,1918,-1.870417,38.507917,-1.85833,38.50833,1.0000000000000001e-07,9.7e-07,0.16,5.87,5e-07,1.08,33.3,768.784896
