SNCZI,e0_emo1_01,e0_emo1_02,e0_emo1_03,e0_emo1_04,e0_emo1_05,e0_emo1_06,e0_emo1_07,e0_emo1_08,e0_emo1_09,e0_emo1_10,e0_emo1_11,e0_emo1_12,e0_emo1_year,pr_emo1_01,pr_emo1_02,pr_emo1_03,pr_emo1_04,pr_emo1_05,pr_emo1_06,pr_emo1_07,pr_emo1_08,pr_emo1_09,pr_emo1_10,pr_emo1_11,pr_emo1_12,pr_emo1_year,ta_emo1_01,ta_emo1_02,ta_emo1_03,ta_emo1_04,ta_emo1_05,ta_emo1_06,ta_emo1_07,ta_emo1_08,ta_emo1_09,ta_emo1_10,ta_emo1_11,ta_emo1_12,ta_emo1_year,dis_efas5_01,dis_efas5_02,dis_efas5_03,dis_efas5_04,dis_efas5_05,dis_efas5_06,dis_efas5_07,dis_efas5_08,dis_efas5_09,dis_efas5_10,dis_efas5_11,dis_efas5_12,dis_efas5_yrmean,dis_efas5_yrmax,dis_efas5_yrmin
2141,0.5022645965969611,1.0214292334128858,2.2351818829337873,3.5045771416991647,5.101332158869895,6.838828710594562,7.670679199147901,6.599020563379177,4.066704844705987,1.956450660724852,0.7309415025598924,0.46739951907104027,3.404810906926498,1.4656406256627657,1.4677322563168678,1.5958501218209538,1.752047036931088,1.255857871190571,0.5302913324145431,0.16778372087673388,0.20658379407892713,0.9639927324382682,2.5346843774889285,2.155791034024312,2.143842993085755,1.3525086270753166,7.950712018202943,9.38848430762475,11.938410109089267,13.97530524465773,18.051393108983195,22.985099809820003,26.362460096327556,26.280039594320257,22.278469309180675,17.407321950440767,11.776897311210632,8.891717610820647,16.479384640690242,0.031397849462365394,0.03013948497854049,0.029452590420332023,0.028232323232322915,0.02558162267839653,0.02204040404040369,0.01848484848484818,0.01199413489736054,0.012666666666666503,0.020156402737047722,0.024262626262626045,0.025855327468230476,0.023323951393567285,0.10242424242424243,0.006666666666666666
2147,0.4017995941866451,0.993272559349565,2.0762277094033688,3.2847171377654028,4.737254363467383,6.402224086029361,7.412318410761545,6.277237479870853,3.7025671539884626,1.7309542238741442,0.5823603295338354,0.3580935333357527,3.1760246181614593,1.0103143081153203,1.219758268360792,1.4979925418671134,1.7237097798284575,1.2750767555086895,0.6860902437483986,0.2694007862804918,0.33892480888720766,1.0838421361590265,1.2221153616608882,1.4813894022293765,1.2756765524565197,1.0877006216604952,4.769598710278089,6.255286091732764,8.709759393191641,11.09184617056991,15.438334761476936,20.44029474547415,24.043120732405317,23.940422398370497,19.39811839961042,14.513975310768434,8.641127143679846,5.8976073374959,13.6361580274649,0.4721505376344119,0.4649785407725349,0.6064027370479012,0.5655757575757596,0.4372629521016653,0.3379595959596002,0.3005767350928689,0.28212121212121366,0.3688585858585902,0.3743108504398869,0.5030808080808092,0.4565591397849488,0.4304000344790826,3.7639393939393933,0.24818181818181823
2153,0.3218016652476563,0.5836426893992613,1.4429477831077482,2.3165093252755176,3.337162797169019,4.256480427221819,4.726332585832591,4.071396489763306,2.523378699415862,1.12021294655688,0.3846304638698142,0.2850055499232209,2.1228752598150273,1.978676038834536,1.820814285921535,1.7004629839337484,2.0909143810456676,1.830286522668224,1.5383159782232219,0.8374887364457044,0.7670528768214242,1.3207838952217388,2.0568199558372133,2.832834520789023,2.207349896174881,1.745777264080969,3.880709576315792,4.569877343370216,6.693238665237804,8.347198954223646,11.662959273726127,15.17134648573519,17.600099510461355,18.03914508651778,15.281953202835236,11.826418806147831,7.02994853133298,4.587888981504703,10.4231650928413,0.7462561094819173,0.7406759656652371,0.7153079178885626,0.7381313131313129,0.5758944281524931,0.4688383838383841,0.2381720430107547,0.19127077223851702,0.2722222222222238,0.4443304007820152,0.7154141414141421,0.794134897360703,0.551977091825509,5.1481818181818175,0.10999999999999997
2175,0.513725931229769,0.8997441607591389,1.9175180374760314,3.028612933315412,4.3108330856087385,5.651092864768674,6.241583975062925,5.225137100774405,3.1718700354749507,1.4163220021527767,0.6308937286039932,0.44148672898489466,2.7980042515115007,1.1898106467735545,0.8711315887813909,1.4542190603342204,2.0391448788114968,1.72218996409698,1.3467341915058735,0.7390213665161086,0.8671783531739109,1.7955918564718107,2.292019771245415,1.840690316143093,1.3660566387415267,1.4615308616567828,5.373290629577113,6.682563879683038,9.256733796237908,11.538859060436788,15.656836561909635,20.239380500292537,23.02910516315658,23.08533058558042,19.004434553782144,14.664160490735185,9.039903083594158,6.023080605053992,13.670793592000479,0.8913098729227797,0.7677896995708161,0.7526197458455547,0.8560404040404077,0.9142424242424249,0.8526060606060578,0.600869990224829,0.49394916911045916,0.6132222222222209,0.7971652003910079,1.0394040404040426,0.9926099706744893,0.7973652831934888,1.6893939393939392,0.283030303030303
2180,0.3433953146957476,0.6235898012942894,1.4907469995327127,2.4670463758887666,3.5559248874730494,4.529854780134529,5.021009119141953,4.1981861954909965,2.4782288151558,1.088351387869228,0.3826499984002286,0.2748826166910637,2.213577682366642,1.4790638333143633,1.0947711947458516,1.6289753089650523,2.181703441890134,2.2336973358490746,2.1779415100747794,1.5476687196910155,1.8662599037562515,2.3008312967885756,2.4025577105936553,2.0769921161827773,1.4531726657735506,1.8727186599789005,3.249204603545477,4.161407474498365,6.45681105146252,8.629034135407872,12.468566450671833,16.638558280347574,19.47266536723833,19.55610541607511,15.72375474843112,12.014990814445305,6.865727350548512,3.7686144459022177,10.786907302961572,0.580488758553274,0.5640021459227466,0.580215053763439,0.6165959595959589,0.6873509286412506,0.6708080808080826,0.5191397849462388,0.5067155425219982,0.557242424242427,0.6410361681329408,0.6509393939393936,0.6654252199413432,0.603342626807033,3.2448484848484846,0.38030303030303036
2188,0.31171592730041714,0.857644123692753,1.8005951920038095,2.965509698306671,4.3435151670219145,5.7962969381399825,6.563118534353821,5.503787123679182,3.243117699839852,1.5111744285562054,0.4906060877023853,0.2525666344345768,2.814482811710746,1.0614972084165275,0.9933822273581899,1.468214985192651,1.4579674454846872,1.0119203627330864,0.6731641106404519,0.16558268989009814,0.33576681376529316,1.0958178759731276,1.1283687295435172,1.3973494436859972,1.170077593723835,0.9948701036260149,3.517425425934336,4.7998133770434,7.022270552283253,9.320994994435647,13.433341424136568,18.02260594994131,21.409431247767117,21.458382072336864,17.36649778009665,12.872053328613848,7.4006529340144205,4.602039233862421,11.807621105931759,0.12455522971651933,0.09569742489270332,0.24169110459433135,0.1904848484848486,0.16877810361681322,0.11982828282828353,0.10068426197458523,0.07667644183773195,0.06519191919191894,0.0664222873900288,0.11138383838383781,0.07232649071358682,0.11963511603799042,2.138484848484848,0.02060606060606061
2190,0.3602104099575192,0.7904782236389848,1.8365969612742916,2.8692145493897523,4.004599439666651,5.281861114261126,6.0921485279545635,5.236670162554244,3.111224011279116,1.3512031712723152,0.4669778925308198,0.3260563664001304,2.65477206431563,0.8814117351915532,0.8938373178313587,1.0883591236311756,1.6706414509265368,1.6348632765115778,1.1220754688074155,0.5844192773699788,0.5710533436717564,1.2155929583779213,1.6552610777803314,1.420423967710895,1.008813309535691,1.145145623295474,3.2608727912665287,4.3642029777282145,6.939007131327744,9.039892612495507,13.067426868431262,17.71176293257511,20.890460454357218,20.844913685892802,16.48096119321958,12.006910275387508,6.61752328041828,4.106244057593772,11.316732371119127,0.015249266862170005,0.01363733905579394,0.012160312805474045,0.014737373737373657,0.011642228739002862,0.008151515151515114,0.0045161290322580545,0.0039100684261974515,0.005606060606060568,0.010391006842619639,0.00984848484848475,0.007741935483870911,0.009775275775949461,0.06909090909090912,0.0033333333333333335
2193,0.24230054307090212,0.47467355180907467,1.2380865527096616,2.0827307890761984,3.026793682884028,3.801450389443022,4.16517416507967,3.545168282815555,2.134098907281654,0.8922636717528775,0.2791170051177926,0.19748006476322477,1.8476854702996932,1.447131915930679,1.22057233378288,1.6732402822248544,2.658907949662593,2.7212957424326003,2.3918542925868125,1.527310993816431,1.8642911823009636,2.254568087821709,2.3247558651319595,2.3420022756878445,1.6736304280421805,2.0098247077154165,-0.3014325924925069,0.5386897184398393,2.8356502872444724,4.838067845462097,8.62122144514671,12.555363352611812,15.205178419282825,15.344149231095003,11.63041412770146,8.003232297011426,2.9349926999885345,0.3407954644894988,6.914562788480918,0.7439198435972607,0.7423068669527902,1.1131182795698895,1.549080808080806,2.1541153470185748,2.0872323232323287,1.2368328445747792,1.0811339198435965,1.1559595959595954,1.3391397849462343,1.3224747474747482,0.9402443792766367,1.2902523211000643,4.286666666666666,0.4515151515151514
2197,0.44224924647265584,1.0441172748900023,2.1276323125567487,3.3212249221223775,4.748925850013833,6.438123682532647,7.441439454972686,6.260681851518469,3.6877231316132977,1.7459226276284905,0.6167301384854422,0.36711801830304785,3.1993969810821667,0.8176833036619288,0.9200607871154224,1.310244496013386,1.5066762418522044,1.2282001718118063,0.8292926701709435,0.29167836000068037,0.370878682074856,1.163723339571387,1.2012395142650818,1.258378681792546,1.0323518576987354,0.9926213905283636,4.612437831907955,6.076909699506234,8.477708647502832,10.85827705456753,15.112478131772486,20.10345595485032,23.587981064648222,23.516830815364656,19.06267108339252,14.260809323887905,8.466599701499247,5.634887242585945,13.354565561628037,0.17306940371456397,0.17877682403433434,0.19165200391006756,0.18840404040403957,0.19170087976539413,0.1866868686868676,0.16787878787878718,0.15402737047898318,0.1489191919191922,0.1557771260997069,0.1592626262626266,0.16874877810361702,0.17205681336155193,0.2627272727272727,0.10909090909090911
2203,0.3356199978164381,0.5855612787174495,1.3177571402296409,2.112843036772025,2.9797455576391396,3.6323669547233917,3.8582614734259053,3.359857714420889,2.1615886978428773,0.9746955661858748,0.34976554524175224,0.32276032346270966,1.8394474011418451,3.0584424263856875,2.882954227095425,2.9634320904036033,3.336406179815954,2.6052317885549527,2.0644125949594927,1.2065304199121902,1.6378670107791307,2.339801702091254,3.705956110115917,4.537689653096598,3.622270155746425,2.8270608280310427,3.56883339517962,4.099528190543947,5.66086739828293,6.99001739776571,9.908109962182778,13.043932661865696,15.115333930488205,15.526570796500437,13.407437191587507,10.476393049937888,6.227765362228107,4.323817765819725,9.056540775255463,1.9710557184750865,1.9339806866952862,2.0318279569892552,1.8853636363636457,1.6761388074291432,1.3367171717171835,1.1276832844574771,0.9267741935483834,0.8405252525252548,1.2482013685239557,1.7300303030303072,2.2227859237536736,1.5763055685986296,10.314545454545454,0.6596969696969696
2222,0.27204103119883466,0.5214788521552066,1.325741303980875,2.217275596507872,3.200186773712218,4.035324198549444,4.426095953901259,3.76122037278359,2.26820245439356,0.9551683076723813,0.31265704562503027,0.22458541573713464,1.9681388908966049,1.3613748189398807,1.135392219588211,1.6049294562351502,2.5728157844395034,2.6019351500590995,2.27762057198172,1.4374958666324622,1.7590208811305812,2.1930274622518002,2.250748009926557,2.2127299436793804,1.560619150672841,1.9154726245461202,0.5267398082837826,1.4694718486742344,3.8336997068385146,5.886150455271186,9.716788721266306,13.728034185881567,16.407763371136646,16.523271804913982,12.745701600325228,9.007654431164045,3.8446128997147424,1.1585423020942107,7.940054313597753,0.6545650048875885,0.6391309012875565,0.9488172043010751,1.331212121212122,1.8433333333333308,1.7924242424242427,1.0554056695992182,0.9067741935483883,0.9714949494949496,1.1383088954056726,1.1401212121212123,0.8153958944281536,1.1042922601265295,3.855454545454546,0.378181818181818
